nombre,area_nombre,sector_nombre,subsector,diametro_copa,macizo,nombre_cientifico,familia_nombre,sinonimia,nombre_vulgar,especie_origen,endemica,nativa,region_fitogeografica,habito_crecimiento,ciclo_hoja,ciclo_especie
Científica,Invernáculos,#1 Tropicales,2,0,FALSO,Aechmea warasii,Bromeliaceae,, ,Brasil,FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,2,1,FALSO,Aechmea weilbachii,Bromeliaceae,, ,Brasil,FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,2,1,FALSO,Aechmea weilbachii,Bromeliaceae,, ,Brasil,FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,2,0,FALSO,Aechmea weilbachii,Bromeliaceae,, ,Brasil,FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,2,1,FALSO,Aechmea weilbachii,Bromeliaceae,, ,Brasil,FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,2,0,FALSO,Aechmea winkleri,Bromeliaceae,, ,Brasil,FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,4,0,FALSO,Aeschynanthus longicaulis,Gesneriaceae,Aeschynanthus marmoratus T.Moore, ,"China, India, Birmania, Tailandia",FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,4,0,FALSO,Aeschynanthus longicaulis,Gesneriaceae,Aeschynanthus marmoratus T.Moore, ,"China, India, Birmania, Tailandia",FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,4,0,FALSO,Aeschynanthus pulcher cv.,Gesneriaceae,Aeschynanthus lobbianus Hook., ,cultivar,FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,4,0,FALSO,Aeschynanthus radicans,Gesneriaceae,, ,"Sud Eeste Asiático (península Malaca, isla de Java, Indonesia)",FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,2,0,FALSO,Aeschynanthus sp.,Gesneriaceae,, ,,FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,2,0,FALSO,Aeschynanthus sp.,Gesneriaceae,, ,,FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,2,0,FALSO,Aeschynanthus sp.,Gesneriaceae,, ,,FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,2,0,FALSO,Aeschynanthus sp.,Gesneriaceae,, ,,FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,4,0,FALSO,Aeschynanthus speciosus,Gesneriaceae,, ,"Península Malaya, Java, Borneo. ",FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,4,0,FALSO,Aeschynanthus speciosus,Gesneriaceae,, ,"Península Malaya, Java, Borneo. ",FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,1,0,FALSO,Aglaonema modestum,Araceae,, ,"China, Tailandia, Vietnam",FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,1,0,FALSO,Aglaonema sp.,Araceae,, ,,FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,1,0,FALSO,Aglaonema sp.,Araceae,, ,,FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,1,0,FALSO,Aglaonema sp.,Araceae,, ,,FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,1,0,VERDADERO,Alocasia wentii,Araceae,, ,Indonesia,FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,1,0,FALSO,Alocasia wentii,Araceae,, ,Indonesia,FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,3,0,FALSO,Amorphophallus konjac,Araceae,, ,"Asia (China, Japon)",FALSO,FALSO,"s/d,",Geófita,Caducifolia,Perenne
Científica,Invernáculos,#1 Tropicales,3,1,FALSO,Amorphophallus paeoniifolius,Araceae,,,"India, Sudeste Asiático, China, Australia, Madagascar, Polinesia",FALSO,FALSO,"s/d,",Geófita,Perennifolia,Perenne
